id,product_id,state,name,family,announced,released,height_mm,width_mm,depth_mm,weight_g,height_in,width_in,depth_in,weight_oz,display_in,resolution_width_px,resolution_height_px,ppi,compare_url,source_url,verified
iphone-duo,iphone-duo,folded,iPhone Duo (folded),iPhone Duo,2026-09-09,2026-10-23,117.8,84.1,11.3,254,4.64,3.31,0.44,8.96,5.4,1398,2034,460,https://iphonesize.com/iphone-duo,https://www.apple.com/iphone-duo/specs/,2026-09-09
iphone-duo-unfolded,iphone-duo,unfolded,iPhone Duo (unfolded),iPhone Duo,2026-09-09,2026-10-23,117.8,164.6,5.2,254,4.64,6.48,0.2,8.96,7.6,1878,2670,430,https://iphonesize.com/iphone-duo?duo=unfolded,https://www.apple.com/iphone-duo/specs/,2026-09-09
iphone-18-pro-max,iphone-18-pro-max,,iPhone 18 Pro Max,iPhone 18,2026-09-09,2026-09-18,163.4,78,8.75,249,6.43,3.07,0.34,8.78,6.9,1320,2868,460,https://iphonesize.com/iphone-18-pro-max,https://www.apple.com/iphone-18-pro/specs/,2026-09-09
iphone-18-pro,iphone-18-pro,,iPhone 18 Pro,iPhone 18,2026-09-09,2026-09-18,150,71.9,8.75,211,5.91,2.83,0.34,7.44,6.3,1206,2622,460,https://iphonesize.com/iphone-18-pro,https://www.apple.com/iphone-18-pro/specs/,2026-09-09
iphone-17-pro-max,iphone-17-pro-max,,iPhone 17 Pro Max,iPhone 17,2025-09-09,2025-09-19,163.4,78,8.75,233,6.43,3.07,0.34,8.22,6.9,1320,2868,460,https://iphonesize.com/iphone-17-pro-max,https://support.apple.com/en-us/125091,2026-09-09
iphone-17-pro,iphone-17-pro,,iPhone 17 Pro,iPhone 17,2025-09-09,2025-09-19,150,71.9,8.75,206,5.91,2.83,0.34,7.27,6.3,1206,2622,460,https://iphonesize.com/iphone-17-pro,https://support.apple.com/en-us/125090,2026-09-09
iphone-17-air,iphone-17-air,,iPhone 17 Air,iPhone 17,2025-09-09,2025-09-19,156.2,74.7,5.64,165,6.15,2.94,0.22,5.82,6.5,1260,2736,460,https://iphonesize.com/iphone-17-air,https://support.apple.com/en-us/125092,2026-09-09
iphone-17,iphone-17,,iPhone 17,iPhone 17,2025-09-09,2025-09-19,149.6,71.5,7.95,177,5.89,2.81,0.31,6.24,6.3,1206,2622,460,https://iphonesize.com/iphone-17,https://support.apple.com/en-us/125089,2026-09-09
iphone-17e,iphone-17e,,iPhone 17e,iPhone 17,2026-03-01,2026-03-01,146.7,71.5,7.8,169,5.78,2.81,0.31,5.96,6.1,1170,2532,460,https://iphonesize.com/iphone-17e,https://support.apple.com/en-us/126470,2026-09-09
iphone-16-pro-max,iphone-16-pro-max,,iPhone 16 Pro Max,iPhone 16,2024-09-09,2024-09-20,163,77.6,8.25,227,6.42,3.06,0.32,8.01,6.9,1320,2868,460,https://iphonesize.com/iphone-16-pro-max,https://support.apple.com/en-us/121032,2026-09-09
iphone-16-pro,iphone-16-pro,,iPhone 16 Pro,iPhone 16,2024-09-09,2024-09-20,149.6,71.5,8.25,199,5.89,2.81,0.32,7.02,6.3,1206,2622,460,https://iphonesize.com/iphone-16-pro,https://support.apple.com/en-us/121031,2026-09-09
iphone-16-plus,iphone-16-plus,,iPhone 16 Plus,iPhone 16,2024-09-09,2024-09-20,160.9,77.8,7.8,199,6.33,3.06,0.31,7.02,6.7,1290,2796,460,https://iphonesize.com/iphone-16-plus,https://support.apple.com/en-us/121030,2026-09-09
iphone-16,iphone-16,,iPhone 16,iPhone 16,2024-09-09,2024-09-20,147.6,71.6,7.8,170,5.81,2.82,0.31,6,6.1,1179,2556,460,https://iphonesize.com/iphone-16,https://support.apple.com/en-us/121029,2026-09-09
iphone-16e,iphone-16e,,iPhone 16e,iPhone 16,2025-02-19,2025-02-28,146.7,71.5,7.8,167,5.78,2.81,0.31,5.89,6.1,1170,2532,460,https://iphonesize.com/iphone-16e,https://support.apple.com/en-us/122208,2026-09-09
iphone-15-pro-max,iphone-15-pro-max,,iPhone 15 Pro Max,iPhone 15,2023-09-12,2023-09-22,159.9,76.7,8.25,221,6.3,3.02,0.32,7.8,6.7,1290,2796,460,https://iphonesize.com/iphone-15-pro-max,https://support.apple.com/en-us/111828,2026-09-09
iphone-15-pro,iphone-15-pro,,iPhone 15 Pro,iPhone 15,2023-09-12,2023-09-22,146.6,70.6,8.25,187,5.77,2.78,0.32,6.6,6.1,1179,2556,460,https://iphonesize.com/iphone-15-pro,https://support.apple.com/en-us/111829,2026-09-09
iphone-15-plus,iphone-15-plus,,iPhone 15 Plus,iPhone 15,2023-09-12,2023-09-22,160.9,77.8,7.8,201,6.33,3.06,0.31,7.09,6.7,1290,2796,460,https://iphonesize.com/iphone-15-plus,https://support.apple.com/en-us/111830,2026-09-09
iphone-15,iphone-15,,iPhone 15,iPhone 15,2023-09-12,2023-09-22,147.6,71.6,7.8,171,5.81,2.82,0.31,6.03,6.1,1179,2556,460,https://iphonesize.com/iphone-15,https://support.apple.com/en-us/111831,2026-09-09
iphone-14-pro-max,iphone-14-pro-max,,iPhone 14 Pro Max,iPhone 14,2022-09-07,2022-09-16,160.7,77.6,7.85,240,6.33,3.06,0.31,8.47,6.7,1290,2796,460,https://iphonesize.com/iphone-14-pro-max,https://support.apple.com/en-us/111846,2026-09-09
iphone-14-pro,iphone-14-pro,,iPhone 14 Pro,iPhone 14,2022-09-07,2022-09-16,147.5,71.5,7.85,206,5.81,2.81,0.31,7.27,6.1,1179,2556,460,https://iphonesize.com/iphone-14-pro,https://support.apple.com/en-us/111849,2026-09-09
iphone-14-plus,iphone-14-plus,,iPhone 14 Plus,iPhone 14,2022-09-07,2022-09-16,160.8,78.1,7.8,203,6.33,3.07,0.31,7.16,6.7,1284,2778,458,https://iphonesize.com/iphone-14-plus,https://support.apple.com/en-us/111854,2026-09-09
iphone-14,iphone-14,,iPhone 14,iPhone 14,2022-09-07,2022-09-16,146.7,71.5,7.8,172,5.78,2.81,0.31,6.07,6.1,1170,2532,460,https://iphonesize.com/iphone-14,https://support.apple.com/en-us/111850,2026-09-09
iphone-13-pro-max,iphone-13-pro-max,,iPhone 13 Pro Max,iPhone 13,2021-09-14,2021-09-24,160.8,78.1,7.65,240,6.33,3.07,0.3,8.47,6.7,1284,2778,458,https://iphonesize.com/iphone-13-pro-max,https://support.apple.com/en-us/111870,2026-09-09
iphone-13-pro,iphone-13-pro,,iPhone 13 Pro,iPhone 13,2021-09-14,2021-09-24,146.7,71.5,7.65,204,5.78,2.81,0.3,7.2,6.1,1170,2532,460,https://iphonesize.com/iphone-13-pro,https://support.apple.com/en-us/111871,2026-09-09
iphone-13-mini,iphone-13-mini,,iPhone 13 mini,iPhone 13,2021-09-14,2021-09-24,131.5,64.2,7.65,141,5.18,2.53,0.3,4.97,5.4,1080,2340,476,https://iphonesize.com/iphone-13-mini,https://support.apple.com/en-us/111873,2026-09-09
iphone-13,iphone-13,,iPhone 13,iPhone 13,2021-09-14,2021-09-24,146.7,71.5,7.65,174,5.78,2.81,0.3,6.14,6.1,1170,2532,460,https://iphonesize.com/iphone-13,https://support.apple.com/en-us/111872,2026-09-09
iphone-se-3rd,iphone-se-3rd,,iPhone SE (3rd gen),iPhone SE,2022-03-08,2022-03-18,138.4,67.3,7.3,144,5.45,2.65,0.29,5.08,4.7,750,1334,326,https://iphonesize.com/iphone-se-3rd,https://support.apple.com/en-us/111866,2026-09-09
iphone-12-pro-max,iphone-12-pro-max,,iPhone 12 Pro Max,iPhone 12,2020-10-13,2020-10-23,160.8,78.1,7.4,228,6.33,3.07,0.29,8.04,6.7,1284,2778,458,https://iphonesize.com/iphone-12-pro-max,https://support.apple.com/en-us/111874,2026-09-09
iphone-12-pro,iphone-12-pro,,iPhone 12 Pro,iPhone 12,2020-10-13,2020-10-23,146.7,71.5,7.4,189,5.78,2.81,0.29,6.67,6.1,1170,2532,460,https://iphonesize.com/iphone-12-pro,https://support.apple.com/en-us/111875,2026-09-09
iphone-12-mini,iphone-12-mini,,iPhone 12 mini,iPhone 12,2020-10-13,2020-10-23,131.5,64.2,7.4,135,5.18,2.53,0.29,4.76,5.4,1080,2340,476,https://iphonesize.com/iphone-12-mini,https://support.apple.com/en-us/111877,2026-09-09
iphone-12,iphone-12,,iPhone 12,iPhone 12,2020-10-13,2020-10-23,146.7,71.5,7.4,164,5.78,2.81,0.29,5.78,6.1,1170,2532,460,https://iphonesize.com/iphone-12,https://support.apple.com/en-us/111876,2026-09-09
iphone-11-pro-max,iphone-11-pro-max,,iPhone 11 Pro Max,iPhone 11,2019-09-10,2019-09-20,158,77.8,8.1,226,6.22,3.06,0.32,7.97,6.5,1242,2688,458,https://iphonesize.com/iphone-11-pro-max,https://support.apple.com/en-us/111878,2026-09-09
iphone-11-pro,iphone-11-pro,,iPhone 11 Pro,iPhone 11,2019-09-10,2019-09-20,144,71.4,8.1,188,5.67,2.81,0.32,6.63,5.8,1125,2436,458,https://iphonesize.com/iphone-11-pro,https://support.apple.com/en-us/111879,2026-09-09
iphone-11,iphone-11,,iPhone 11,iPhone 11,2019-09-10,2019-09-20,150.9,75.7,8.3,194,5.94,2.98,0.33,6.84,6.1,828,1792,326,https://iphonesize.com/iphone-11,https://support.apple.com/en-us/111865,2026-09-09
iphone-se-2nd,iphone-se-2nd,,iPhone SE (2nd gen),iPhone SE,2020-04-15,2020-04-24,138.4,67.3,7.3,148,5.45,2.65,0.29,5.22,4.7,750,1334,326,https://iphonesize.com/iphone-se-2nd,https://support.apple.com/en-us/111882,2026-09-09
iphone-xs-max,iphone-xs-max,,iPhone XS Max,iPhone X,2018-09-12,2018-09-21,157.5,77.4,7.7,208,6.2,3.05,0.3,7.34,6.5,1242,2688,458,https://iphonesize.com/iphone-xs-max,https://support.apple.com/en-us/111880,2026-09-09
iphone-xs,iphone-xs,,iPhone XS,iPhone X,2018-09-12,2018-09-21,143.6,70.9,7.7,177,5.65,2.79,0.3,6.24,5.8,1125,2436,458,https://iphonesize.com/iphone-xs,https://support.apple.com/en-us/111881,2026-09-09
iphone-xr,iphone-xr,,iPhone XR,iPhone X,2018-10-26,2018-10-26,150.9,75.7,8.3,194,5.94,2.98,0.33,6.84,6.1,828,1792,326,https://iphonesize.com/iphone-xr,https://support.apple.com/en-us/111868,2026-09-09
iphone-x,iphone-x,,iPhone X,iPhone X,2017-09-12,2017-11-03,143.6,70.9,7.7,174,5.65,2.79,0.3,6.14,5.8,1125,2436,458,https://iphonesize.com/iphone-x,https://support.apple.com/en-us/111864,2026-09-09
iphone-8-plus,iphone-8-plus,,iPhone 8 Plus,iPhone 8,2017-09-12,2017-09-22,158.4,78.1,7.5,202,6.24,3.07,0.3,7.13,5.5,1080,1920,401,https://iphonesize.com/iphone-8-plus,https://support.apple.com/en-us/111950,2026-09-09
iphone-8,iphone-8,,iPhone 8,iPhone 8,2017-09-12,2017-09-22,138.4,67.3,7.3,148,5.45,2.65,0.29,5.22,4.7,750,1334,326,https://iphonesize.com/iphone-8,https://support.apple.com/en-us/111976,2026-09-09
